node,module,input_shape,output_shape,count,time_ms_sum,time_ms_avg,comm_mb_sum,comm_mb_avg,rounds_sum,rounds_avg
output,MatMul,"[(1, 128, 768), (768, 50257)]","(1, 128, 50257)",1,1637.586355,1637.586355,590.449219,590.449219,1.0,1.0
/transformer/h.2/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,126.182318,126.182318,42.0,42.0,1.0,1.0
/transformer/h.4/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,124.913692,124.913692,42.0,42.0,1.0,1.0
/transformer/h.3/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,124.330521,124.330521,42.0,42.0,1.0,1.0
/transformer/h.1/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,124.175549,124.175549,42.0,42.0,1.0,1.0
/transformer/h.5/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,117.901325,117.901325,42.0,42.0,1.0,1.0
/transformer/h.6/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,117.605209,117.605209,42.0,42.0,1.0,1.0
/transformer/h.0/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,115.537167,115.537167,42.0,42.0,1.0,1.0
/transformer/h.11/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,115.52,115.52,42.0,42.0,1.0,1.0
/transformer/h.9/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,113.280773,113.280773,42.0,42.0,1.0,1.0
/transformer/h.7/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,112.413168,112.413168,42.0,42.0,1.0,1.0
/transformer/h.11/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,108.408451,108.408451,37.5,37.5,1.0,1.0
/transformer/h.4/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,108.33478,108.33478,37.5,37.5,1.0,1.0
/transformer/h.10/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,108.32715,108.32715,37.5,37.5,1.0,1.0
/transformer/h.1/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,107.900143,107.900143,37.5,37.5,1.0,1.0
/transformer/h.7/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,107.666254,107.666254,37.5,37.5,1.0,1.0
/transformer/h.3/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,107.581615,107.581615,37.5,37.5,1.0,1.0
/transformer/h.10/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,107.379675,107.379675,42.0,42.0,1.0,1.0
/transformer/h.8/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,107.023001,107.023001,42.0,42.0,1.0,1.0
/transformer/h.5/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,106.921196,106.921196,37.5,37.5,1.0,1.0
/transformer/h.2/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,106.59337,106.59337,37.5,37.5,1.0,1.0
/transformer/h.8/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,106.268883,106.268883,37.5,37.5,1.0,1.0
/transformer/h.9/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,106.148243,106.148243,37.5,37.5,1.0,1.0
