idx,node,module,input_shape,output_shape,time_ms,comm_mb,rounds
1,/transformer/h.0/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",80.733538,28.5,1.0
2,/transformer/h.0/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.285688,3.0,1.0
3,/transformer/h.0/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",14.349222,4.5,1.0
4,/transformer/h.0/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",30.711412,10.5,1.0
5,/transformer/h.0/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",104.695082,37.5,1.0
6,/transformer/h.0/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",115.537167,42.0,1.0
7,/transformer/h.1/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",82.009077,28.5,1.0
8,/transformer/h.1/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.124756,3.0,1.0
9,/transformer/h.1/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",13.934851,4.5,1.0
10,/transformer/h.1/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",31.262636,10.5,1.0
11,/transformer/h.1/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",107.900143,37.5,1.0
12,/transformer/h.1/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",124.175549,42.0,1.0
13,/transformer/h.2/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",80.521345,28.5,1.0
14,/transformer/h.2/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.727955,3.0,1.0
15,/transformer/h.2/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",14.119148,4.5,1.0
16,/transformer/h.2/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",31.857729,10.5,1.0
17,/transformer/h.2/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",106.59337,37.5,1.0
18,/transformer/h.2/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",126.182318,42.0,1.0
