==== gpt2_W_2 (128,3072,768), iters=500 ====
[PCG] Loaded from /home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_dummy_pcg/gpt2_W_2_party0.bin
[PCG] Matrix: [128×3072] × [3072×768] = [128×768], k=64-bit

╔═══════════════════════════════════════════════════════════╗
║  GPU Matrix Beaver Online                                 ║
║  Y = X × W                                                ║
╠═══════════════════════════════════════════════════════════╣
║  GPU: NVIDIA RTX A6000                               ║
║  Matrix: [128×3072] × [3072×768] = [128×768]                      
║  k_bits: 64                                              ║
║  iterations: 500                                         ║
╚═══════════════════════════════════════════════════════════╝

Iter 1: total=17.02 ms, PRG=0.28 ms, comm=13.67 ms, GEMM=1.25 ms
Iter 2: total=15.72 ms, PRG=0.28 ms, comm=12.42 ms, GEMM=1.21 ms
Iter 3: total=11.39 ms, PRG=0.29 ms, comm=8.19 ms, GEMM=1.20 ms
Iter 4: total=11.10 ms, PRG=0.28 ms, comm=7.90 ms, GEMM=1.21 ms
Iter 5: total=11.34 ms, PRG=0.28 ms, comm=8.15 ms, GEMM=1.20 ms
Iter 6: total=11.18 ms, PRG=0.28 ms, comm=7.98 ms, GEMM=1.21 ms
Iter 7: total=11.26 ms, PRG=0.28 ms, comm=8.06 ms, GEMM=1.20 ms
Iter 8: total=11.20 ms, PRG=0.28 ms, comm=8.01 ms, GEMM=1.20 ms
Iter 9: total=11.29 ms, PRG=0.29 ms, comm=8.08 ms, GEMM=1.21 ms
Iter 10: total=11.17 ms, PRG=0.28 ms, comm=7.97 ms, GEMM=1.20 ms
Iter 11: total=11.10 ms, PRG=0.28 ms, comm=7.91 ms, GEMM=1.20 ms
Iter 12: total=11.18 ms, PRG=0.28 ms, comm=7.98 ms, GEMM=1.21 ms
Iter 13: total=11.18 ms, PRG=0.28 ms, comm=7.98 ms, GEMM=1.20 ms
Iter 14: total=11.16 ms, PRG=0.28 ms, comm=7.97 ms, GEMM=1.20 ms
Iter 15: total=11.31 ms, PRG=0.28 ms, comm=8.11 ms, GEMM=1.21 ms
Iter 16: total=11.20 ms, PRG=0.28 ms, comm=8.00 ms, GEMM=1.21 ms
Iter 17: total=11.24 ms, PRG=0.28 ms, comm=8.04 ms, GEMM=1.20 ms
Iter 18: total=11.20 ms, PRG=0.28 ms, comm=8.01 ms, GEMM=1.20 ms
Iter 19: total=11.16 ms, PRG=0.28 ms, comm=7.96 ms, GEMM=1.20 ms
Iter 20: total=11.19 ms, PRG=0.28 ms, comm=7.99 ms, GEMM=1.20 ms
Iter 21: total=11.17 ms, PRG=0.28 ms, comm=7.98 ms, GEMM=1.20 ms
Iter 22: total=11.18 ms, PRG=0.28 ms, comm=7.99 ms, GEMM=1.20 ms
Iter 23: total=11.20 ms, PRG=0.28 ms, comm=8.01 ms, GEMM=1.20 ms
Iter 24: total=11.19 ms, PRG=0.29 ms, comm=7.99 ms, GEMM=1.21 ms
Iter 25: total=11.16 ms, PRG=0.28 ms, comm=7.97 ms, GEMM=1.20 ms
Iter 26: total=11.24 ms, PRG=0.28 ms, comm=8.04 ms, GEMM=1.20 ms
